especie,size,age
ipe,14.248736501240359,40.55870885430624
ipe,15.373719459026164,29.941187311845987
ipe,13.465901280272833,47.31867138560122
ipe,14.594322001540615,47.66995207882313
ipe,10.32662992140264,24.530083664296875
ipe,12.221263089474041,46.755528408932925
ipe,10.439485868860528,41.01630182279266
ipe,10.614435421860483,31.033472599541447
ipe,13.145940710283774,34.70160195444953
ipe,9.0272763985586,32.2749512368178
ipe,13.191426239578519,29.72144444392209
ipe,9.896226576462219,39.063299248579824
ipe,10.019309569032323,41.026391262720395
ipe,9.3678088864073,41.73658240454567
ipe,15.177496419038945,37.386443063302075
ipe,13.152647441941214,37.46177501229791
ipe,14.14448737716213,47.36232324760598
ipe,13.296414801494894,38.96839869333594
ipe,11.289414632446753,28.214642259732898
ipe,8.955272147749332,37.47927692114978
ipe,11.016762246688701,40.09914136288689
ipe,11.408766053275642,41.09383036834317
ipe,11.930972167734346,32.46267837975656
ipe,12.814253284393606,33.531714673078916
ipe,14.412293694918716,29.559363546960068
ipe,11.545428295661674,26.772416274567636
ipe,13.20264627983344,41.80190626122967
ipe,9.167325748692043,27.952504706815787
ipe,12.203846406533593,39.874591676679415
ipe,13.470103975161765,48.06089070537354
ipe,13.76068741496052,31.491053537544236
ipe,10.59571579331,34.03501862548572
ipe,11.126074053486262,36.74250680719274
ipe,12.764099046503079,45.46341012657179
ipe,11.948559706123449,33.597441778504034
ipe,11.314496977615361,50.798935514459856
ipe,13.067765246776636,32.23226832973164
ipe,11.422953161059525,45.431764511250876
ipe,13.912989808721354,33.311266336381614
ipe,15.458499440180269,47.545214244638046
ipe,11.896740628529054,46.36289761934811
ipe,11.544001226684715,45.95188276710071
ipe,12.536680426874778,39.84320953046834
ipe,13.707127987866102,48.70481745899708
ipe,11.751409946339775,49.01411660480501
ipe,11.731342595018315,34.39920159686066
ipe,12.583351497782497,36.342353777580435
ipe,13.901845638191382,22.562436570657034
ipe,12.538227485943997,48.40555247835003
ipe,13.3823167953525,41.110179594414646
ipe,12.002668029080207,31.961419313819093
ipe,12.634375859202873,47.41071730521069
ipe,14.159444824304156,47.76353830237448
ipe,10.443032774737201,52.99350275791122
ipe,13.5528869309899,38.603697996027684
ipe,11.181109252045209,46.16619933379147
ipe,11.116611024811048,39.09986059213882
ipe,13.998106364621549,20.358133095467945
ipe,11.428926891028068,34.79040203137122
ipe,9.086564866893358,46.23149722895742
ipe,15.508780800785695,61.22179072433291
ipe,12.620664440875334,52.545397934515066
ipe,10.947084900882253,23.536943942719134
ipe,11.562950847888132,22.409673216451424
ipe,10.06770784192011,26.186113092388176
ipe,12.60674900565731,20.263393530204187
ipe,13.416987690158852,52.7903136936855
ipe,13.96790087824487,56.22885990011548
ipe,8.755733265480934,21.461231446794248
ipe,11.602185710788785,46.80043387600615
ipe,10.330196110189988,35.697775832281565
ipe,13.535271096647671,45.51187162140517
ipe,10.421064625517914,53.58038945914431
ipe,11.809166917227811,26.69534648851468
ipe,11.780464320042308,52.97150732547462
ipe,11.253866230698105,59.866760584297694
ipe,11.5231670960965,41.72167944749034
ipe,9.410620995464349,27.551614340846584
ipe,11.616818944371374,33.61373019934337
ipe,13.434975843640146,37.51295318782424
ipe,11.320572984462617,36.31671847619692
ipe,14.005712717894276,55.401764658775484
ipe,11.344287578040266,48.597043661664244
ipe,14.080434820921838,45.29270017395849
ipe,12.191078189012549,42.84086872617641
ipe,14.01889439932256,43.907194188044286
ipe,11.389945835167692,19.06722976760602
ipe,11.926819179340796,59.548173840052414
ipe,11.864610469633973,35.62629454748392
ipe,11.721071500271654,32.38418081790545
ipe,12.334962213253682,34.08930598063185
ipe,10.321213671969002,43.77628005455674
ipe,10.329039163862065,27.098704146958866
ipe,12.362743360037216,26.798520245250852
ipe,12.084238151435615,51.95261953014989
ipe,13.62937624014586,37.66424554671568
ipe,12.48205315876842,44.89443048415165
ipe,13.340446553529052,22.02657554060799
ipe,10.599164207482335,48.7507553872447
ipe,13.25007578192506,43.40617289007012
ipe,10.143172064081993,46.73623863929528
ipe,9.478066507106899,39.19098866243575
ipe,11.907672225648039,47.99244815432083
ipe,11.286641219057113,40.2048312996917
ipe,9.46160101071136,33.23782549611481
ipe,11.18715567167251,28.177132985851685
ipe,12.235067254051156,25.637307747441547
ipe,11.293430599875864,57.612336832533686
ipe,10.735514549502707,48.8651700729721
ipe,12.707803615612672,41.64483718050561
ipe,11.797420601985852,33.21813003896859
ipe,11.558008187413678,35.0497018522979
ipe,15.42894553655115,31.906263836427595
ipe,11.73098373818116,35.616932211742835
ipe,11.614407058958955,42.78082857009003
ipe,11.217089648070866,20.561345415857033
ipe,11.913623472136388,39.180727110473455
ipe,11.145389328291412,43.72085747664437
ipe,9.341766404128697,47.941610706418516
ipe,11.795822123373135,38.86731987602996
ipe,12.515876003070336,42.932092439742256
ipe,10.94270991738275,49.982886494590645
ipe,12.032695510054083,17.75613695732098
ipe,10.348258846609959,36.346164066958394
ipe,11.80142347349635,55.13756833332234
ipe,12.787445516444405,43.247883208604584
ipe,11.56644491205625,38.93039912304546
ipe,12.49548821444845,34.90777101254902
ipe,13.45995065654846,44.5124940116484
ipe,12.855679979803407,23.1621589416061
ipe,11.491402688095079,34.89744585837302
ipe,13.514565169855636,41.34105363952115
ipe,12.7534930190142,37.549014387766164
ipe,14.098441625939806,32.28063088489861
ipe,12.442863839551604,39.925403133707356
ipe,11.192704322061644,36.447707947881874
ipe,13.040691551863546,28.82477999058043
ipe,10.99622540647534,34.88558137048434
